equipment_name,cleaned_name,brand_name,product_name,product_category,instrument_type,equipment_urls
Catalinbread Ottava Magus,Catalinbread Ottava Magus,Catalinbread,Ottava Magus,,Guitar,/items/catalinbread-ottava-magus
Catalinbread Pareidolia,Catalinbread Pareidolia,Catalinbread,Pareidolia,,Guitar,/items/catalinbread-pareidolia
Catalinbread Royal Albert Hall (RAH),Catalinbread Royal Albert Hall (RAH),Catalinbread,Royal Albert Hall (RAH),,Guitar,/items/catalinbread-royal-albert-hall-rah
Catalinbread Sabbra cadabbra,Catalinbread Sabbra cadabbra,Catalinbread,Sabbra cadabbra,,Guitar,/items/catalinbread-sabbra-cadabbra
Catalinbread Semaphore Tremolo,Catalinbread Semaphore Tremolo,Catalinbread,Semaphore Tremolo,,Guitar,/items/catalinbread-semaphore-tremolo
Catalinbread SFT,Catalinbread SFT,Catalinbread,SFT,,Guitar,/items/catalinbread-sft
Catalinbread Super Chili Picoso,Catalinbread Super Chili Picoso,Catalinbread,Super Chili Picoso,,Guitar,/items/catalinbread-super-chili-picoso
Catalinbread Talisman,Catalinbread Talisman,Catalinbread,Talisman,,Guitar,/items/catalinbread-talisman
Catalinbread Topanga Spring Reverb,Catalinbread Topanga Spring Reverb,Catalinbread,Topanga Spring Reverb,,Guitar,/items/catalinbread-topanga-spring-reverb
Catalinbread V8 Fuzz Tone Engine Effects Pedal,Catalinbread V8 Fuzz Tone Engine Effects Pedal,Catalinbread,V8 Fuzz Tone Engine Effects Pedal,,Guitar,/items/catalinbread-v8-fuzz-tone-engine-effects-pedal
Catalinbread Valcoder Effects Pedal,Catalinbread Valcoder Effects Pedal,Catalinbread,Valcoder Effects Pedal,,Guitar,/items/catalinbread-valcoder-effects-pedal
Catalinbread Zero Point Effects Pedal,Catalinbread Zero Point Effects Pedal,Catalinbread,Zero Point Effects Pedal,,Guitar,/items/catalinbread-zero-point-effects-pedal
CFD Twinlight,CFD Twinlight,CFD,Twinlight,,Guitar,/items/cfd-twinlight
Chadderbox Louder/Louder,Chadderbox Louder/Louder,Chadderbox,Louder/Louder,,Guitar,/items/chadderbox-louder-louder
Chandler Limited Little Devil Colored Boost Pedal,Chandler Limited Little Devil Colored Boost Pedal,Chandler,Limited Little Devil Colored Boost Pedal,,Guitar,/items/chandler-limited-little-devil-colored-boost-pedal
Chandler Tube Driver Tube Overdrive Pedal,Chandler Tube Driver Tube Overdrive Pedal,Chandler,Tube Driver Tube Overdrive Pedal,,Guitar,/items/chandler-tube-driver-tube-overdrive-pedal
Chase Bliss Audio Gravitas Analog Tremolo,Chase Bliss Audio Gravitas Analog Tremolo,Chase Bliss Audio,Gravitas Analog Tremolo,,Guitar,/items/chase-bliss-audio-gravitas-analog-tremolo
Chase Bliss Audio Spectre Analog TZ Flanger,Chase Bliss Audio Spectre Analog TZ Flanger,Chase Bliss Audio,Spectre Analog TZ Flanger,,Guitar,/items/chase-bliss-audio-spectre-analog-tz-flanger
Chase Bliss Audio Tonal Recall Analog Delay,Chase Bliss Audio Tonal Recall Analog Delay,Chase Bliss Audio,Tonal Recall Analog Delay,,Guitar,/items/chase-bliss-audio-tonal-recall-analog-delay
Chase Bliss Audio Warped Vinyl,Chase Bliss Audio Warped Vinyl,Chase Bliss Audio,Warped Vinyl,,Guitar,/items/chase-bliss-audio-warped-vinyl
Chase Bliss Audio Warped Vinyl MKII Analog Vibrato/Chorus,Chase Bliss Audio Warped Vinyl MKII Analog Vibrato/Chorus,Chase Bliss Audio,Warped Vinyl MKII Analog Vibrato/Chorus,,Guitar,/items/chase-bliss-audio-warped-vinyl-mkii-analog-vibrato-chorus
Chicago Iron Octavian,Chicago Iron Octavian,Chicago Iron,Octavian,Octave,Guitar,/items/chicago-iron-octavian
Chicago Iron Parachute Wah,Chicago Iron Parachute Wah,Chicago Iron,Parachute Wah,Wah,Guitar,/items/chicago-iron-parachute-wah
Chuck Collins Interfax Harmonic Percolator Fuzz,Chuck Collins Interfax Harmonic Percolator Fuzz,Chuck Collins,Interfax Harmonic Percolator Fuzz,Fuzz,Guitar,/items/chuck-collins-interfax-harmonic-percolator-fuzz
CIOKS AC-8,CIOKS AC-8,CIOKS,AC-8,,Guitar,/items/cioks-ac-8
CIOKS DC10 Power Supply,CIOKS DC10 Power Supply,CIOKS,DC10 Power Supply,,Guitar,/items/cioks-dc10-power-supply
Circus Freak Pickled Punk Distortion Pedal,Circus Freak Pickled Punk Distortion Pedal,Circus Freak,Pickled Punk Distortion Pedal,,Guitar,/items/circus-freak-pickled-punk-distortion-pedal
Circus Freak The Bearded Lady Fuzz Effects Pedal,Circus Freak The Bearded Lady Fuzz Effects Pedal,Circus Freak,The Bearded Lady Fuzz Effects Pedal,,Guitar,/items/circus-freak-the-bearded-lady-fuzz-effects-pedal
Circus Freak The Lion Tamer,Circus Freak The Lion Tamer,Circus Freak,The Lion Tamer,,Guitar,/items/circus-freak-the-lion-tamer
Circus Freak The Tattooed Lady Overdrive Effects Pedal,Circus Freak The Tattooed Lady Overdrive Effects Pedal,Circus Freak,The Tattooed Lady Overdrive Effects Pedal,,Guitar,/items/circus-freak-the-tattooed-lady-overdrive-effects-pedal
CKK Electronic Space Station Delay/Reverb Pedal,CKK Electronic Space Station Delay/Reverb Pedal,CKK Electronic,Space Station Delay/Reverb Pedal,,Guitar,/items/ckk-electronic-space-station-delay-reverb-pedal
Classic Audio Effects Passive Volume Roller G2,Classic Audio Effects Passive Volume Roller G2,Classic Audio Effects,Passive Volume Roller G2,,Guitar,/items/classic-audio-effects-passive-volume-roller-g2
Cluster Heaven & Hell,Cluster Heaven & Hell,Cluster,Heaven & Hell,,Guitar,/items/cluster-heaven-hell
Cluster Ithaca-26,Cluster Ithaca-26,Cluster,Ithaca-26,,Guitar,/items/cluster-ithaca-26
Cluster Mask-5,Cluster Mask-5,Cluster,Mask-5,,Guitar,/items/cluster-mask-5
Cluster Pulstar-43,Cluster Pulstar-43,Cluster,Pulstar-43,,Guitar,/items/cluster-pulstar-43
Cluster Spiral-48,Cluster Spiral-48,Cluster,Spiral-48,,Guitar,/items/cluster-spiral-48
Cluster Spirit-92,Cluster Spirit-92,Cluster,Spirit-92,,Guitar,/items/cluster-spirit-92
Cluster StarFox-88,Cluster StarFox-88,Cluster,StarFox-88,,Guitar,/items/cluster-starfox-88
Cluster Tsunami-9,Cluster Tsunami-9,Cluster,Tsunami-9,,Guitar,/items/cluster-tsunami-9
Cluster UPS-10,Cluster UPS-10,Cluster,UPS-10,,Guitar,/items/cluster-ups-10
CMATMODS Deluxe Signa Comp,CMATMODS Deluxe Signa Comp,CMATMODS,Deluxe Signa Comp,,Guitar,/items/cmatmods-deluxe-signa-comp
CMATMODS Signa Drive,CMATMODS Signa Drive,CMATMODS,Signa Drive,,Guitar,/items/cmatmods-signa-drive
Colorsound 'Yellow Tonebender' Limited Edition,Colorsound 'Yellow Tonebender' Limited Edition,Colorsound,'Yellow Tonebender' Limited Edition,,Guitar,/items/colorsound-yellow-tonebender-limited-edition
Colorsound by Sola Sound Supa Tonebender,Colorsound by Sola Sound Supa Tonebender,Colorsound,by Sola Sound Supa Tonebender,,Guitar,/items/colorsound-by-sola-sound-supa-tonebender
Colorsound Fuzz Box,Colorsound Fuzz Box,Colorsound,Fuzz Box,,Guitar,/items/colorsound-fuzz-box
Colorsound Octivider,Colorsound Octivider,Colorsound,Octivider,,Guitar,/items/colorsound-octivider
Colorsound Overdriver,Colorsound Overdriver,Colorsound,Overdriver,,Guitar,/items/colorsound-overdriver
Colorsound Tonebender,Colorsound Tonebender,Colorsound,Tonebender,,Guitar,/items/colorsound-tonebender
Colorsound Wah Wah,Colorsound Wah Wah,Colorsound,Wah Wah,,Guitar,/items/colorsound-wah-wah
Conn ST-11 Strobotuner,Conn ST-11 Strobotuner,Conn,ST-11 Strobotuner,,Guitar,/items/conn-st-11-strobotuner
Coolpedals Dirty Devil,Coolpedals Dirty Devil,Coolpedals,Dirty Devil,,Guitar,/items/coolpedals-dirty-devil
Coopersonic The Repeater,Coopersonic The Repeater,Coopersonic,The Repeater,,Guitar,/items/coopersonic-the-repeater
Coopersonic Valveslapper Guitar Effects Pedal,Coopersonic Valveslapper Guitar Effects Pedal,Coopersonic,Valveslapper Guitar Effects Pedal,,Guitar,/items/coopersonic-valveslapper-guitar-effects-pedal--2
Cornish NG-2 Fuzz pedal,Cornish NG-2 Fuzz pedal,Cornish,NG-2 Fuzz pedal,,Guitar,/items/cornish-ng-2-fuzz-pedal
Crazy Tube Circuits Stardust Blackface,Crazy Tube Circuits Stardust Blackface,Crazy Tube Circuits,Stardust Blackface,,Guitar,/items/crazy-tube-circuits-stardust-blackface
Crazy Tube Circuits Starlight,Crazy Tube Circuits Starlight,Crazy Tube Circuits,Starlight,,Guitar,/items/crazy-tube-circuits-starlight
Crazy Tube Circuits Vyagra Boost,Crazy Tube Circuits Vyagra Boost,Crazy Tube Circuits,Vyagra Boost,,Guitar,/items/crazy-tube-circuits-vyagra-boost
Creation Audio Labs Mark 4:23 Boost,Creation Audio Labs Mark 4:23 Boost,Creation Audio Labs,Mark 4:23 Boost,,Guitar,/items/creation-audio-labs-mark-4-23-boost
Creation Audio Labs MK 4.23 Zen Boost,Creation Audio Labs MK 4.23 Zen Boost,Creation Audio Labs,MK 4.23 Zen Boost,,Guitar,/items/creation-audio-labs-mk-4-23-zen-boost
Crews Maniac Sound QUADRIVE,Crews Maniac Sound QUADRIVE,Crews Maniac Sound,QUADRIVE,,Guitar,/items/crews-maniac-sound-quadrive
Crown W-Fuzz,Crown W-Fuzz,Crown,W-Fuzz,,Guitar,/items/crown-w-fuzz
Crowther Audio Prunes & Custard,Crowther Audio Prunes & Custard,Crowther,Audio Prunes & Custard,,Guitar,/items/crowther-audio-prunes-custard
Crowther Double Hotcake Overdrive Effects Pedal,Crowther Double Hotcake Overdrive Effects Pedal,Crowther,Double Hotcake Overdrive Effects Pedal,,Guitar,/items/crowther-double-hotcake-overdrive-effects-pedal
Crowther Hotcake,Crowther Hotcake,Crowther,Hotcake,,Guitar,/items/crowther-hotcake
Crumar Bassman,Crumar Bassman,Crumar,Bassman,,Guitar,/items/crumar-bassman
Cruzer by Crafter Analog Delay,Cruzer by Crafter Analog Delay,Cruzer by Crafter,Analog Delay,,Guitar,/items/cruzer-by-crafter-analog-delay
Cult Germanium Overdrive,Cult Germanium Overdrive,Cult,Germanium Overdrive,,Guitar,/items/cult-germanium-overdrive
Cusack Music More Louder Boost,Cusack More Louder Boost,Cusack,More Louder Boost,,Guitar,/items/cusack-music-more-louder-boost
Cusack Screamer Fuzz Pedal,Cusack Screamer Fuzz Pedal,Cusack,Screamer Fuzz Pedal,,Guitar,/items/cusack-screamer-fuzz-pedal
Cusack Screamer V2 Overdrive Pedal,Cusack Screamer V2 Overdrive Pedal,Cusack,Screamer V2 Overdrive Pedal,,Guitar,/items/cusack-screamer-v2-overdrive-pedal
Cusack Tap-a-Delay,Cusack Tap-a-Delay,Cusack,Tap-a-Delay,,Guitar,/items/cusack-tap-a-delay
Cusack Tap-a-Whirl Tremolo Pedal,Cusack Tap-a-Whirl Tremolo Pedal,Cusack,Tap-a-Whirl Tremolo Pedal,,Guitar,/items/cusack-tap-a-whirl-tremolo-pedal
Cusack Tremolo AME,Cusack Tremolo AME,Cusack,Tremolo AME,,Guitar,/items/cusack-tremolo-ame
Custom Audio Electronics 4x4 Audio Controller,Custom Audio Electronics 4x4 Audio Controller,Custom Audio Electronics,4x4 Audio Controller,,Guitar,/items/custom-audio-electronics-4x4-audio-controller
Custom Audio Electronics Japan Twin Tremolo Pedal,Custom Audio Electronics Japan Twin Tremolo Pedal,Custom Audio Electronics,Japan Twin Tremolo Pedal,,Guitar,/items/custom-audio-electronics-japan-twin-tremolo-pedal
Custom Audio Electronics Power Supply,Custom Audio Electronics Power Supply,Custom Audio Electronics,Power Supply,,Guitar,/items/custom-audio-electronics-power-supply
Custom Audio Electronics RS-10 MKII,Custom Audio Electronics RS-10 MKII,Custom Audio Electronics,RS-10 MKII,,Guitar,/items/custom-audio-electronics-rs-10-mkii
Custom Audio Electronics RS-5 MIDI Foot Controller,Custom Audio Electronics RS-5 MIDI Foot Controller,Custom Audio Electronics,RS-5 MIDI Foot Controller,,Guitar,/items/custom-audio-electronics-rs-5-midi-foot-controller
Custom Audio Electronics RS-T MIDI Foot Controller,Custom Audio Electronics RS-T MIDI Foot Controller,Custom Audio Electronics,RS-T MIDI Foot Controller,,Guitar,/items/custom-audio-electronics-rs-t-midi-foot-controller
D. Scientist Sunny Day Delay,Dr. Scientist Sunny Day Delay,Dr. Scientist,Sunny Day Delay,,Guitar,/items/d-scientist-sunny-day-delay
D'Amico Efectos Nodriza,D'Amico Efectos Nodriza,D'Amico,Efectos Nodriza,Power Supply,Guitar,/items/d-amico-efectos-nodriza
Dallas Rangemaster,Dallas Rangemaster,Dallas,Rangemaster,Treble Booster,Guitar,/items/dallas-rangemaster
Dan Armstrong Orange Squeezer Compressor,Dan Armstrong Orange Squeezer Compressor,Dan Armstrong,Orange Squeezer Compressor,,Guitar,/items/dan-armstrong-orange-squeezer-compressor
Dan'amp Toxi Drive,Dan'amp Toxi Drive,Dan'amp,Toxi Drive,,Guitar,/items/dan-amp-toxi-drive
Dan'Amp Tremolo Lux,Dan'amp Tremolo Lux,Dan'amp,Tremolo Lux,,Guitar,/items/dan-amp-tremolo-lux
Danelectro Back Talk Reverse Delay,Danelectro Back Talk Reverse Delay,Danelectro,Back Talk Reverse Delay,,Guitar,/items/danelectro-back-talk-reverse-delay
Danelectro Black Liquorice - Beyond Metal,Danelectro Black Liquorice - Beyond Metal,Danelectro,Black Liquorice - Beyond Metal,,Guitar,/items/danelectro-black-liquorice-beyond-metal
Danelectro Cool Cat Chorus,Danelectro Cool Cat Chorus,Danelectro,Cool Cat Chorus,,Guitar,/items/danelectro-cool-cat-chorus
Danelectro Daddy O. Overdrive Pedal,Danelectro Daddy O. Overdrive Pedal,Danelectro,Daddy O. Overdrive Pedal,,Guitar,/items/danelectro-daddy-o-overdrive-pedal
Danelectro DD-1 Fab Tone Distortion Pedal,Danelectro DD-1 Fab Tone Distortion Pedal,Danelectro,DD-1 Fab Tone Distortion Pedal,,Guitar,/items/danelectro-dd-1-fab-tone-distortion-pedal--2
Danelectro DE-1 Dan-Echo Delay,Danelectro DE-1 Dan-Echo Delay,Danelectro,DE-1 Dan-Echo Delay,,Guitar,/items/danelectro-de-1-dan-echo-delay
Danelectro DJ17 PB & J,Danelectro DJ17 PB & J,Danelectro,DJ17 PB & J,,Guitar,/items/danelectro-dj17-pb-j
Danelectro DM-25,Danelectro DM-25,Danelectro,DM-25,,Guitar,/items/danelectro-dm-25
Danelectro DSR-1 Spring King Effect Pedal,Danelectro DSR-1 Spring King Effect Pedal,Danelectro,DSR-1 Spring King Effect Pedal,,Guitar,/items/danelectro-dsr-1-spring-king-effect-pedal
Danelectro FAB Chorus,Danelectro FAB Chorus,Danelectro,FAB Chorus,,Guitar,/items/danelectro-fab-chorus
Danelectro FAB Delay Pedal,Danelectro FAB Delay Pedal,Danelectro,FAB Delay Pedal,,Guitar,/items/danelectro-fab-delay-pedal
Danelectro Fab Distortion,Danelectro Fab Distortion,Danelectro,Fab Distortion,,Guitar,/items/danelectro-fab-distortion
Danelectro FAB Echo,Danelectro FAB Echo,Danelectro,FAB Echo,,Guitar,/items/danelectro-fab-echo
Danelectro Fab Flange Effect Pedal,Danelectro Fab Flange Effect Pedal,Danelectro,Fab Flange Effect Pedal,,Guitar,/items/danelectro-fab-flange-effect-pedal
Danelectro French Toast,Danelectro French Toast,Danelectro,French Toast,,Guitar,/items/danelectro-french-toast
Danelectro Hashbrown Flanger,Danelectro Hashbrown Flanger,Danelectro,Hashbrown Flanger,,Guitar,/items/danelectro-hashbrown-flanger
Danelectro Pastrami Overdrive,Danelectro Pastrami Overdrive,Danelectro,Pastrami Overdrive,,Guitar,/items/danelectro-pastrami-overdrive
Danelectro Psycho Flange,Danelectro Psycho Flange,Danelectro,Psycho Flange,,Guitar,/items/danelectro-psycho-flange
Danelectro Reel Echo Tape Simulator Pedal,Danelectro Reel Echo Tape Simulator Pedal,Danelectro,Reel Echo Tape Simulator Pedal,,Guitar,/items/danelectro-reel-echo-tape-simulator-pedal
Danelectro Wasabi Delay,Danelectro Wasabi Delay,Danelectro,Wasabi Delay,,Guitar,/items/danelectro-wasabi-delay
Darkglass Electronics Duality Dual Fuzz Engine,Darkglass Electronics Duality Dual Fuzz Engine,Darkglass,Electronics Duality Dual Fuzz Engine,,Guitar,/items/darkglass-electronics-duality-dual-fuzz-engine
Darkglass Electronics Microtubes B3K CMOS Bass Overdrive,Darkglass Electronics Microtubes B3K CMOS Bass Overdrive,Darkglass,Electronics Microtubes B3K CMOS Bass Overdrive,,Guitar,/items/darkglass-electronics-microtubes-b3k-cmos-bass-overdrive
Darkglass Electronics Microtubes B7K Analog Bass Preamp Pedal,Darkglass Electronics Microtubes B7K Analog Bass Preamp Pedal,Darkglass,Electronics Microtubes B7K Analog Bass Preamp Pedal,,Guitar,/items/darkglass-electronics-microtubes-b7k-analog-bass-preamp-pedal
Darkglass Electronics Vintage Deluxe,Darkglass Electronics Vintage Deluxe,Darkglass,Electronics Vintage Deluxe,,Guitar,/items/darkglass-electronics-vintage-deluxe
Dawner Prince Boonar Multi-Head Drum Echo,Dawner Prince Boonar Multi-Head Drum Echo,Dawner,Prince Boonar Multi-Head Drum Echo,,Guitar,/items/dawner-prince-boonar-multi-head-drum-echo
DBX 166A Dynamics Processor,DBX 166A Dynamics Processor,DBX,166A Dynamics Processor,,Guitar,/items/dbx-166a-dynamics-processor
DBX 800 Series Two-Module Frame FS900,DBX 800 Series Two-Module Frame FS900,DBX,800 Series Two-Module Frame FS900,,Guitar,/items/dbx-800-series-two-module-frame-fs900
Dean Markley Overlord - Classic Tube Overdrive,Dean Markley Overlord Classic Tube Overdrive,Dean Markley,Overlord Classic Tube Overdrive,,Guitar,/items/dean-markley-overlord-classic-tube-overdrive
DeArmond 1800 Wa-Wa combination volume,DeArmond 1800 Wa-Wa combination volume,DeArmond,1800 Wa-Wa combination volume,,Guitar,/items/dearmond-1800-wa-wa-combination-volume
DeArmond Tremolo Control,DeArmond Tremolo Control,DeArmond,Tremolo Control,,Guitar,/items/dearmond-tremolo-control
Death Audio Interstellar Overdriver Deluxe,Death by Audio Interstellar Overdriver Deluxe,Death by Audio,Interstellar Overdriver Deluxe,,Guitar,/items/death-audio-interstellar-overdriver-deluxe
Death by Audio Apocalypse Pedal,Death by Audio Apocalypse Pedal,Death by Audio,Apocalypse Pedal,,Guitar,/items/death-by-audio-apocalypse-pedal
Death By Audio Armageddon,Death by Audio Armageddon,Death by Audio,Armageddon,,Guitar,/items/death-by-audio-armageddon
Death by Audio Echo Dream 2,Death by Audio Echo Dream 2,Death by Audio,Echo Dream 2,,Guitar,/items/death-by-audio-echo-dream-2
Death by Audio Fuzz War,Death by Audio Fuzz War,Death by Audio,Fuzz War,,Guitar,/items/death-by-audio-fuzz-war
Death By Audio Fuzz War Overload,Death by Audio Fuzz War Overload,Death by Audio,Fuzz War Overload,,Guitar,/items/death-by-audio-fuzz-war-overload
Death By Audio Harmonic Transformer Pedal,Death by Audio Harmonic Transformer Pedal,Death by Audio,Harmonic Transformer Pedal,,Guitar,/items/death-by-audio-harmonic-transformer-pedal
Death By Audio Interstellar Overdrive Deluxe,Death by Audio Interstellar Overdriver Deluxe,Death by Audio,Interstellar Overdriver Deluxe,,Guitar,/items/death-by-audio-interstellar-overdrive-deluxe
Death By Audio Interstellar Overdriver,Death by Audio Interstellar Overdriver,Death by Audio,Interstellar Overdriver,,Guitar,/items/death-by-audio-interstellar-overdriver
Death by Audio Interstellar Overdriver Supreme,Death by Audio Interstellar Overdriver Supreme,Death by Audio,Interstellar Overdriver Supreme,,Guitar,/items/death-by-audio-interstellar-overdriver-supreme
Death By Audio Octave Clang,Death by Audio Octave Clang,Death by Audio,Octave Clang,,Guitar,/items/death-by-audio-octave-clang
Death By Audio Reverberation Machine,Death by Audio Reverberation Machine,Death by Audio,Reverberation Machine,,Guitar,/items/death-by-audio-reverberation-machine
Death By Audio Robot,Death by Audio Robot,Death by Audio,Robot,,Guitar,/items/death-by-audio-robot
Death By Audio Soundwave Breakdown,Death by Audio Soundwave Breakdown,Death by Audio,Soundwave Breakdown,,Guitar,/items/death-by-audio-soundwave-breakdown
Death by Audio Sunshine Reverb,Death by Audio Sunshine Reverb,Death by Audio,Sunshine Reverb,,Guitar,/items/death-by-audio-sunshine-reverb
Death By Audio Supersonic Fuzz Gun Pedal,Death by Audio Supersonic Fuzz Gun Pedal,Death by Audio,Supersonic Fuzz Gun Pedal,,Guitar,/items/death-by-audio-supersonic-fuzz-gun-pedal
Death By Audio Total Sonic Annihilation,Death by Audio Total Sonic Annihilation,Death by Audio,Total Sonic Annihilation,,Guitar,/items/death-by-audio-total-sonic-annihilation
Decibel Eleven DB11 Loop Expander,Decibel Eleven DB11 Loop Expander,Decibel Eleven,DB11 Loop Expander,,Guitar,/items/decibel-eleven-db11-loop-expander
Decibel Eleven Dirt Clod Analogue Distortion Pedal,Decibel Eleven Dirt Clod Analogue Distortion Pedal,Decibel Eleven,Dirt Clod Analogue Distortion Pedal,,Guitar,/items/decibel-eleven-dirt-clod-analogue-distortion-pedal
Decibel Eleven Hot Stone HC Isolated DC Power Supply,Decibel Eleven Hot Stone HC Isolated DC Power Supply,Decibel Eleven,Hot Stone HC Isolated DC Power Supply,,Guitar,/items/decibel-eleven-hot-stone-hc-isolated-dc-power-supply
Dedado Mod - Modulo Lunar Phaser,Dedalo Modulo Lunar Phaser Mod-5,Dedalo,Modulo Lunar Phaser Mod-5,,Guitar,/items/dedado-mod-modulo-lunar-phaser
Dedalo FUGU - Dual Analog Chours (FUG-2) - Effect Pedal,Dedalo FUGU - Dual Analog Chours (FUG-2) - Effect Pedal,Dedalo,FUGU - Dual Analog Chours (FUG-2) - Effect Pedal,,Guitar,/items/dedalo-fugu-dual-analog-chours-fug-2-effect-pedal
Dedalo KAMIKAZE - Distortion (KAM-4) - Effect Pedal,Dedalo KAMIKAZE - Distortion (KAM-4) - Effect Pedal,Dedalo,KAMIKAZE - Distortion (KAM-4) - Effect Pedal,,Guitar,/items/dedalo-kamikaze-distortion-kam-4-effect-pedal
Dedalo MAQUINA DEL TIEMPO  Tap Tempo Delay - MDT6,Dedalo Maquina Del Tiempo Tap Tempo Delay (MDT6),Dedalo,Maquina Del Tiempo Tap Tempo Delay (MDT6),,Guitar,/items/dedalo-maquina-del-tiempo-tap-tempo-delay-mdt6
Dedalo MAQUINA DEL TIEMPO - Tape Delay (MDT-5) - Effect Pedal,Dedalo Maquina Del Tiempo Tape Delay (MDT-5),Dedalo,Maquina Del Tiempo Tape Delay (MDT-5),,Guitar,/items/dedalo-maquina-del-tiempo-tape-delay-mdt-5-effect-pedal
Dedalo Míçquina Del Tiempo Delay,Dedalo Maquina Del Tiempo Delay,Dedalo,Maquina Del Tiempo Delay,,Guitar,/items/dedalo-maquina-del-tiempo-delay
Dedalo MODULO LUNAR - Phaser (MOD-5) - Effect Pedal,Dedalo Modulo Lunar Phaser Mod-5,Dedalo,Modulo Lunar Phaser Mod-5,,Guitar,/items/dedalo-modulo-lunar-phaser-mod-5-effect-pedal
Dedalo REVOLVER - Overdrive Booster (RVO-3),Dedalo Revolver Overdrive Booster (RVO-3),Dedalo,Revolver Overdrive Booster (RVO-3),,Guitar,/items/dedalo-revolver-overdrive-booster-rvo-3
Dedalo TRES - Tremolo (TRS-4),Dedalo Tres Tremolo (TRS-4),Dedalo,Tres Tremolo (TRS-4),,Guitar,/items/dedalo-tres-tremolo-trs-4
Dedalo TRES (TRS-5) Tremolo,Dedalo Tres Tremolo (TRS-5),Dedalo,Tres Tremolo (TRS-5),,Guitar,/items/dedalo-tres-trs-5-tremolo
Deep Trip BOG Fuzz,Deep Trip BOG Fuzz,Deep Trip,BOG Fuzz,,Guitar,/items/deep-trip-bog-fuzz
Deep Trip Hellbender,Deep Trip Hellbender,Deep Trip,Hellbender,,Guitar,/items/deep-trip-hellbender
Delta Lab Chromatic Tuner C-40,DeltaLab Chromatic Tuner C-40,DeltaLab,Chromatic Tuner C-40,,Guitar,/items/delta-lab-chromatic-tuner-c-40
Deltalab DD1 Digital Delay,DeltaLab DD1 Digital Delay,DeltaLab,DD1 Digital Delay,,Guitar,/items/deltalab-dd1-digital-delay
Demeter Comp-1 Compulator,Demeter Comp-1 Compulator,Demeter,Comp-1 Compulator,,Guitar,/items/demeter-comp-1-compulator
Demeter FUZ-1 Fuzzulator Pedal,Demeter FUZ-1 Fuzzulator Pedal,Demeter,FUZ-1 Fuzzulator Pedal,,Guitar,/items/demeter-fuz-1-fuzzulator-pedal
Demeter MB-2B Midboost/Fat Control Pedal,Demeter MB-2B Midboost/Fat Control Pedal,Demeter,MB-2B Midboost/Fat Control Pedal,,Guitar,/items/demeter-mb-2b-midboost-fat-control-pedal
Demeter TRM-1 Tremulator Tremolo Pedal,Demeter TRM-1 Tremulator Tremolo Pedal,Demeter,TRM-1 Tremulator Tremolo Pedal,,Guitar,/items/demeter-trm-1-tremulator-tremolo-pedal
Devi Ever Destructo Noctavia,Devi Ever Destructo Noctavia,Devi Ever,Destructo Noctavia,,Guitar,/items/devi-ever-destructo-noctavia
Devi Ever Godzilla,Devi Ever Godzilla,Devi Ever,Godzilla,,Guitar,/items/devi-ever-godzilla
Devi Ever Never Drive Fuzz Guitar Effects Pedal,Devi Ever Never Drive Fuzz Guitar Effects Pedal,Devi Ever,Never Drive Fuzz Guitar Effects Pedal,,Guitar,/items/devi-ever-never-drive-fuzz-guitar-effects-pedal
Devi Ever Rocket Fuzz,Devi Ever Rocket Fuzz,Devi Ever,Rocket Fuzz,,Guitar,/items/devi-ever-rocket-fuzz
Devi Ever Shoe Gazer,Devi Ever Shoe Gazer,Devi Ever,Shoe Gazer,,Guitar,/items/devi-ever-shoe-gazer
Devi Ever Soda Meiser,Devi Ever Soda Meiser,Devi Ever,Soda Meiser,,Guitar,/items/devi-ever-soda-meiser
Devi Ever Super Soda Meiser,Devi Ever Super Soda Meiser,Devi Ever,Super Soda Meiser,,Guitar,/items/devi-ever-super-soda-meiser
Devi Ever Torn's Peaker,Devi Ever Torn's Peaker,Devi Ever,Torn's Peaker,,Guitar,/items/devi-ever-torn-s-peaker
Diago Commuter,Diago Commuter,Diago,Commuter,,Guitar,/items/diago-commuter
Diago PB02 Gigman Pedal Board,Diago PB02 Gigman Pedal Board,Diago,PB02 Gigman Pedal Board,,Guitar,/items/diago-pb02-gigman-pedal-board
Diago Powerstation,Diago Powerstation,Diago,Powerstation,,Guitar,/items/diago-powerstation
Diago Tourman Pedalboard,Diago Tourman Pedalboard,Diago,Tourman Pedalboard,,Guitar,/items/diago-tourman-pedalboard
Diamond CTP1 Counter Point Delay,Diamond CTP1 Counter Point Delay,Diamond,CTP1 Counter Point Delay,,Guitar,/items/diamond-ctp1-counter-point-delay
Diamond Fireburst Fuzz,Diamond Fireburst Fuzz,Diamond,Fireburst Fuzz,,Guitar,/items/diamond-fireburst-fuzz
Diamond Halo Chorus Pedal,Diamond Halo Chorus Pedal,Diamond,Halo Chorus Pedal,,Guitar,/items/diamond-halo-chorus-pedal
Diamond J-Drive MK3 Guitar Effects Pedal,Diamond J-Drive MK3 Guitar Effects Pedal,Diamond,J-Drive MK3 Guitar Effects Pedal,,Guitar,/items/diamond-j-drive-mk3-guitar-effects-pedal
Diamond Memory Lane,Diamond Memory Lane,Diamond,Memory Lane,,Guitar,/items/diamond-memory-lane
Diamond Memory Lane 2,Diamond Memory Lane 2,Diamond,Memory Lane 2,,Guitar,/items/diamond-memory-lane-2
