equipment_names,equipment_urls
Boss AW-3 Dynamic Wah Guitar Effects Pedal,/items/boss-aw-3-dynamic-wah-guitar-effects-pedal
Electro-Harmonix Micro POG,/items/electro-harmonix-micro-pog
Prunes & Custard Harmonic Generator-Intermodulator Pedal,/items/prunes-custard-harmonic-generator-intermodulator-pedal
Boss DD-3 Digital Delay,/items/boss-dd-3-digital-delay
Boss Roland RE-20 Space Echo Pedal,/items/boss-roland-re-20-space-echo-pedal
MXR Micro Chorus M148,/items/mxr-micro-chorus-m148
Boss SD-1 Super OverDrive,/items/boss-sd-1-super-overdrive--2
Fishman Aura Sixteen Programmable Imaging Guitar Effects Pedal,/items/fishman-aura-sixteen-programmable-imaging-guitar-effects-pedal
Sonic Research ST-200 Strobe Tuner,/items/sonic-research-st-200-strobe-tuner
Klon Centaur Professional Overdrive Guitar Pedal,/items/klon-centaur-professional-overdrive-guitar-pedal
Vemuram Jan Ray Overdrive,/items/vemuram-jan-ray-overdrive
Mad Professor Deep Blue Delay Pedal,/items/mad-professor-deep-blue-delay-pedal
Free The Tone Red Jasper,/items/free-the-tone-red-jasper
Free the Tone Custom Sov-2 Overdrive,/items/free-the-tone-custom-sov-2-overdrive
Mad Professor Royal Blue Overdrive,/items/mad-professor-royal-blue-overdrive
Matt Schofield MS SOV SPECIAL (MS-1V),/items/matt-schofield-ms-sov-special-ms-1v
Providence Final Booster,/items/providence-final-booster
Providence DLY-4 Chrono Delay,/items/providence-dly-4-chrono-delay
Mad Professor Forest Green Compressor,/items/mad-professor-forest-green-compressor
Mad Professor Little Green Wonder HW,/items/mad-professor-little-green-wonder-hw
Mad Professor Sweet Honey Overdrive,/items/mad-professor-sweet-honey-overdrive
Xotic Effects RC Booster Clean Boost Guitar Effects Pedal,/items/xotic-effects-rc-booster-clean-boost-guitar-effects-pedal
Xotic Effects AC Booster Overdrive Pedal,/items/xotic-effects-ac-booster-overdrive-pedal
Strymon El Capistan dTape Echo Delay Pedal,/items/strymon-el-capistan-dtape-echo-delay-pedal
Strymon Flint Tremolo & Reverb Pedal,/items/strymon-flint-tremolo-reverb-pedal
Fulltone Tube Tape Echo,/items/fulltone-tube-tape-echo
TWA Flyboys Overdrive,/items/twa-flyboys-overdrive
DigiTech Drop Polyphonic Drop Tune Pedal,/items/digitech-drop-polyphonic-drop-tune-pedal
ISP Technologies Decimator II Noise Reduction Pedal,/items/isp-technologies-decimator-ii-noise-reduction-pedal
Ernie Ball VP JR. Passive Volume Pedal,/items/ernie-ball-vp-jr-passive-volume-pedal
DigiTech Bad Monkey Tube Overdrive,/items/digitech-bad-monkey-tube-overdrive
Boss DD-7 Digital Delay,/items/boss-dd-7-digital-delay
TC Electronic Hall Of Fame Mini Reverb Pedal with TonePrint,/items/tc-electronic-hall-of-fame-mini-reverb-pedal-with-toneprint
TC Electronic Corona Mini,/items/tc-electronic-corona-mini
Electro-Harmonix XO Bass Big Muff PI Distortion Effects Pedal,/items/electro-harmonix-xo-bass-big-muff-pi-distortion-effects-pedal
EarthQuaker Devices Hoof Reaper,/items/earthquaker-devices-hoof-reaper
TC Electronic Hall Of Fame Reverb,/items/tc-electronic-hall-of-fame-reverb
Eventide H9 Harmonizer Multi-Effects Pedal,/items/eventide-h9-harmonizer-multi-effects-pedal
Boss TR-2 Tremolo Pedal,/items/boss-tr-2-tremolo-pedal
Electro-Harmonix Small Clone Analog Chorus,/items/electro-harmonix-small-clone-analog-chorus
Electro-Harmonix Memory Boy,/items/electro-harmonix-memory-boy
Empress Tap Tremolo Pedal,/items/empress-tap-tremolo-pedal
Strymon TimeLine - Multidimensional Delay Effects - Delay Pedal,/items/strymon-timeline-multidimensional-delay-effects-delay-pedal
Strymon BigSky - Multidimensional Reverberator - Reverb Pedal,/items/strymon-bigsky-multidimensional-reverberator-reverb-pedal
Boss GE-7 Equalizer Pedal,/items/boss-ge-7-equalizer-pedal
Strymon Orbit,/items/strymon-orbit
Strymon Ola dBucket Chorus & Vibrato,/items/strymon-ola-dbucket-chorus-vibrato
MXR M-107 Phase 100 Effects Pedal,/items/mxr-m-107-phase-100-effects-pedal
Strymon Deco Tape Saturation & Doubletracker,/items/strymon-deco-tape-saturation-doubletracker
Pro Co RAT Distortion Pedal,/items/pro-co-rat-distortion-pedal
Origin Effects Cali76 Compact Deluxe,/items/origin-effects-cali76-compact-deluxe
Morley ABY Footswitch,/items/morley-aby-footswitch
Boss BD-2 Blues Driver,/items/boss-bd-2-blues-driver
Fulltone OCD Obsessive Compulsive Drive Overdrive Pedal,/items/fulltone-ocd-obsessive-compulsive-drive-overdrive-pedal
Ibanez TS9 Tube Screamer,/items/ibanez-ts9-tube-screamer
Line 6 DL4 Delay Pedal,/items/line-6-dl4-delay-pedal
Boss CH-1 SUPER Chorus Pedal,/items/boss-ch-1-super-chorus-pedal
"Celestion G12M Greenback 12"" 25-Watt Speaker 8 Ohm",/items/celestion-g12m-greenback-12-25-watt-speaker-8-ohm
Boss DD-20 Giga Delay Digital Delay Pedal,/items/boss-dd-20-giga-delay-digital-delay-pedal
Electro-Harmonix Little Big Muff Pi,/items/electro-harmonix-little-big-muff-pi
Electro-Harmonix Holy Grail Reverb Guitar Effects Pedal,/items/electro-harmonix-holy-grail-reverb-guitar-effects-pedal
Boss OD-3 OverDrive Guitar Effects Pedal,/items/boss-od-3-overdrive-guitar-effects-pedal
Boss TU-2 Chromatic Tuner,/items/boss-tu-2-chromatic-tuner
Vox V847A Wah-Wah Pedal,/items/vox-v847a-wah-wah-pedal
Boss FV-50H Stereo Volume Pedal,/items/boss-fv-50h-stereo-volume-pedal
Boss DS-1 Distortion Guitar Effects Pedal,/items/boss-ds-1-distortion-guitar-effects-pedal
Boss OC-3 SUPER Octave Pedal,/items/boss-oc-3-super-octave-pedal
T-Rex Fuel Tank Chameleon,/items/t-rex-fuel-tank-chameleon
Fulltone GT-500 Booster/Distortion,/items/fulltone-gt-500-booster-distortion
Lovepedal Gen 5 Echo,/items/lovepedal-gen-5-echo
Electro-Harmonix Deluxe Memory Man,/items/electro-harmonix-deluxe-memory-man
Korg Pitchblack Chromatic Pedal Tuner,/items/korg-pitchblack-chromatic-pedal-tuner
Voodoo Lab Pedal Power 2 Plus,/items/voodoo-lab-pedal-power-2-plus
MXR M78 Custom Badass '78 Distortion Pedal,/items/mxr-m78-custom-badass-78-distortion-pedal
Ernie Ball Volume Pedal,/items/ernie-ball-volume-pedal
Walrus Audio Voyager Overdrive,/items/walrus-audio-voyager-overdrive
Emerson Custom Paramount Overdrive,/items/emerson-custom-paramount-overdrive
Boss TE-2 Tera Echo Guitar Effects Pedal,/items/boss-te-2-tera-echo-guitar-effects-pedal
EarthQuaker Devices Dispatch Master,/items/earthquaker-devices-dispatch-master
Strymon blueSky Reverberator Pedal,/items/strymon-bluesky-reverberator-pedal
Line 6 ToneCore Verbzilla Guitar Effects Pedal,/items/line-6-tonecore-verbzilla-guitar-effects-pedal
Walrus Audio Descent Reverb Octave Boutique Guitar Pedal,/items/walrus-audio-descent-reverb-octave-boutique-guitar-pedal
DigiTech JamMan Solo Looper Pedal,/items/digitech-jamman-solo-looper-pedal
Snark SN-8 Super Tight All Instrument Tuner,/items/snark-sn-8-super-tight-all-instrument-tuner
