equipment_names,equipment_urls
Blues Saraceno Germanium Boy Boost,/items/blues-saraceno-germanium-boy-boost
Electro-Harmonix Sovtek Big Muff Pi,/items/electro-harmonix-sovtek-big-muff-pi
Boss TU-3 Chromatic Tuner,/items/boss-tu-3-chromatic-tuner
Electro-Harmonix POG Polyphonic Octave Generator Guitar Effects Pedal,/items/electro-harmonix-pog-polyphonic-octave-generator-guitar-effects-pedal
Tech 21 SansAmp Classic,/items/tech-21-sansamp-classic
Electro-Harmonix Big Muff Pi,/items/electro-harmonix-big-muff-pi
MXR M-101 Phase 90 Pedal,/items/mxr-m-101-phase-90-pedal
Electro-Harmonix Deluxe Memory Man (Classic Chassis) Analog Delay/Chorus/Vibrato,/items/electro-harmonix-deluxe-memory-man-classic-chassis-analog-delay-chorus-vibrato
Lehle 1@3 ABC Box,/items/lehle-1-3-abc-box
Boss TU-2 Chromatic Tuner,/items/boss-tu-2-chromatic-tuner
Boss RV-5 Digital Reverb Effects Pedal,/items/boss-rv-5-digital-reverb-effects-pedal
Line 6 POD HD500X,/items/line-6-pod-hd500x
Boss DD-3 Digital Delay,/items/boss-dd-3-digital-delay
Boss TR-2 Tremolo Pedal,/items/boss-tr-2-tremolo-pedal
Ibanez TS9DX Turbo Tube Screamer,/items/ibanez-ts9dx-turbo-tube-screamer
Voodoo Lab Pedal Power 2 Plus,/items/voodoo-lab-pedal-power-2-plus
Moog Moogerfooger MF-104Z Analog Delay,/items/moog-moogerfooger-mf-104z-analog-delay
MXR Carbon Copy Analog Delay,/items/mxr-carbon-copy-analog-delay
Boss OC-3 SUPER Octave Pedal,/items/boss-oc-3-super-octave-pedal
Morley Steve Vai Bad Horsie 2 Contour Wah Pedal,/items/morley-steve-vai-bad-horsie-2-contour-wah-pedal
Morley Optical Volume Pedal,/items/morley-optical-volume-pedal
MXR Micro Flanger – M152,/items/mxr-micro-flanger-m152
Seymour Duncan Twin Tube,/items/seymour-duncan-twin-tube
Morley George Lynch Tripler Pedal,/items/morley-george-lynch-tripler-pedal
Keeley Seafoam Chorus Pedal,/items/keeley-seafoam-chorus-pedal
