equipment_names,equipment_urls
Line 6 EX-1 Expression Pedal,/items/line-6-ex-1-expression-pedal
Line 6 M13 Stompbox Modeler,/items/line-6-m13-stompbox-modeler
Ebtech 2-Channel Hum Eliminator,/items/ebtech-2-channel-hum-eliminator
Whirlwind Selector A/B Box,/items/whirlwind-selector-a-b-box
Boss NS-2 Noise Suppressor Pedal,/items/boss-ns-2-noise-suppressor-pedal
Boss TU-2 Chromatic Tuner,/items/boss-tu-2-chromatic-tuner
Line 6 DL4 Delay Pedal,/items/line-6-dl4-delay-pedal
Line 6 MM4 Modulation Guitar Effects Pedal,/items/line-6-mm4-modulation-guitar-effects-pedal
Voodoo Lab Pedal Power 2 Plus,/items/voodoo-lab-pedal-power-2-plus
Line 6 Helix multi-effect processor,/items/line-6-helix-multi-effect-processor
Eventide H9 Harmonizer Multi-Effects Pedal,/items/eventide-h9-harmonizer-multi-effects-pedal
Line 6 M9 Stompbox Modeler,/items/line-6-m9-stompbox-modeler
ZVex Vexter Box of Rock Distortion Guitar Effects Pedal,/items/zvex-vexter-box-of-rock-distortion-guitar-effects-pedal
ZVex Octane 3 Fuzz,/items/zvex-octane-3-fuzz
Electro Harmonix Hog Guitar Synthesizer,/items/electro-harmonix-hog-guitar-synthesizer
DigiTech TimeBender,/items/digitech-timebender
Celestion Vintage 30,/items/celestion-vintage-30
Peterson StroboStomp Tuner,/items/peterson-strobostomp-tuner
DigiTech DigiDelay,/items/digitech-digidelay
DigiTech Bad Monkey Tube Overdrive,/items/digitech-bad-monkey-tube-overdrive
Digitech XHP Hyper Phase,/items/digitech-xhp-hyper-phase
Dunlop Cry Baby Wah Pedal,/items/dunlop-cry-baby-wah-pedal
SAMSON S-GATE 4,/items/samson-s-gate-4
Xotic Tri-Logic Bass Preamp Pedal,/items/xotic-tri-logic-bass-preamp-pedal
Visual Sound H2O Chorus & Echo Pedal,/items/visual-sound-h2o-chorus-echo-pedal
Korg DT-10 Digital Pedal Tuner,/items/korg-dt-10-digital-pedal-tuner
DigiTech WH1 Whammy Pedal,/items/digitech-wh1-whammy-pedal
Cluster Tsunami-9,/items/cluster-tsunami-9
Cluster Mask-5,/items/cluster-mask-5
Marshall The Guv'nor Mk1 Overdrive Pedal,/items/marshall-the-guv-nor-mk1-overdrive-pedal
Voodoo Lab Tremolo Pedal,/items/voodoo-lab-tremolo-pedal
Voodoo Lab Analog Chorus,/items/voodoo-lab-analog-chorus
MXR M-101 Phase 90 Pedal,/items/mxr-m-101-phase-90-pedal
Zvex Super Hard On Boost Pedal,/items/zvex-super-hard-on-boost-pedal
Carl Martin TremO´vibe,/items/carl-martin-tremo-vibe
Fulltone Full-Drive2 Mosfet,/items/fulltone-full-drive2-mosfet
Xotic Effects BB Preamp,/items/xotic-effects-bb-preamp
Xotic Effects RC Booster Clean Boost Guitar Effects Pedal,/items/xotic-effects-rc-booster-clean-boost-guitar-effects-pedal
TC Electronic Ditto Looper Guitar Effects Pedal,/items/tc-electronic-ditto-looper-guitar-effects-pedal
Pigtronix Echolution Multi-Tap Delay Pedal,/items/pigtronix-echolution-multi-tap-delay-pedal
Electro-Harmonix Deluxe Memory Man (Classic Chassis) Analog Delay/Chorus/Vibrato,/items/electro-harmonix-deluxe-memory-man-classic-chassis-analog-delay-chorus-vibrato
Wampler Faux Analog Echo Delay Pedal,/items/wampler-faux-analog-echo-delay-pedal
Wampler Ego Compressor,/items/wampler-ego-compressor
Modtone MT-HT Harmonic Tremor Pedal,/items/modtone-mt-ht-harmonic-tremor-pedal
Morley ABY Footswitch,/items/morley-aby-footswitch
Analog Man King of Tone Overdrive Guitar Effect Pedal,/items/analog-man-king-of-tone-overdrive-guitar-effect-pedal
Ibanez DE7 Stereo Echo/Delay Tone Lok,/items/ibanez-de7-stereo-echo-delay-tone-lok
Moog MF-102 Moogerfooger Ring Modulator,/items/moog-mf-102-moogerfooger-ring-modulator
Boss GE-7 Equalizer Pedal,/items/boss-ge-7-equalizer-pedal
Boss RV-5 Digital Reverb Effects Pedal,/items/boss-rv-5-digital-reverb-effects-pedal
Ernie Ball VP JR. Passive Volume Pedal,/items/ernie-ball-vp-jr-passive-volume-pedal
Maxon AD-9 Analog Delay Pro,/items/maxon-ad-9-analog-delay-pro
Boss OC-3 SUPER Octave Pedal,/items/boss-oc-3-super-octave-pedal
Guyatone Ultrem Optical Tremolo - GST-C04,/items/guyatone-ultrem-optical-tremolo-gst-c04
Electro-Harmonix Big Muff Pi,/items/electro-harmonix-big-muff-pi
MXR Dyna Comp Compressor M102,/items/mxr-dyna-comp-compressor-m102
Soundblox Pro Multiwave Distortion,/items/soundblox-pro-multiwave-distortion
Source Audio SA225 Soundblox 2 Dimension Reverb,/items/source-audio-sa225-soundblox-2-dimension-reverb
TC Electronic PolyTune Polyphonic Tuner Pedal,/items/tc-electronic-polytune-polyphonic-tuner-pedal
Carl Martin Octa-Switch MK2,/items/carl-martin-octa-switch-mk2
Lehle Little Lehle II,/items/lehle-little-lehle-ii
Line 6 POD XT Live,/items/line-6-pod-xt-live
Electro-Harmonix Micro POG,/items/electro-harmonix-micro-pog
Line 6 FM4 Filter Modeler Guitar Effects Pedal,/items/line-6-fm4-filter-modeler-guitar-effects-pedal
Electro-Harmonix Deluxe Electric Mistress,/items/electro-harmonix-deluxe-electric-mistress
Pedaltrain Pro,/items/pedaltrain-pro
