equipment_names,equipment_urls
Ibanez TS9 Tube Screamer,/items/ibanez-ts9-tube-screamer
Dunlop SW95 Slash Signature Cry Baby Wah Wah,/items/dunlop-sw95-slash-signature-cry-baby-wah-wah
Boss NS-2 Noise Suppressor Pedal,/items/boss-ns-2-noise-suppressor-pedal
EBTECH HE-2-XLR Hum Eliminator,/items/ebtech-he-2-xlr-hum-eliminator
Boss TU-2 Chromatic Tuner,/items/boss-tu-2-chromatic-tuner
TC Electronic G-System,/items/tc-electronic-g-system
TC Electronic Vortex Flanger TonePrint Series Guitar Effects Pedal,/items/tc-electronic-vortex-flanger-toneprint-series-guitar-effects-pedal
Zakk Wylde Overdrive Pedal By MXR,/items/zakk-wylde-overdrive-pedal-by-mxr
Strymon Mobius Modulation Pedal,/items/strymon-mobius-modulation-pedal
Strymon BigSky - Multidimensional Reverberator - Reverb Pedal,/items/strymon-bigsky-multidimensional-reverberator-reverb-pedal
Strymon TimeLine - Multidimensional Delay Effects - Delay Pedal,/items/strymon-timeline-multidimensional-delay-effects-delay-pedal
TC Electronic Ditto Looper Guitar Effects Pedal,/items/tc-electronic-ditto-looper-guitar-effects-pedal
Boss TU-3 Chromatic Tuner,/items/boss-tu-3-chromatic-tuner
Maxon OD-9 Overdrive,/items/maxon-od-9-overdrive
Boss DD-5 Digital Delay,/items/boss-dd-5-digital-delay
Boss RV-5 Digital Reverb Effects Pedal,/items/boss-rv-5-digital-reverb-effects-pedal
Ebtech 2-Channel Hum Eliminator,/items/ebtech-2-channel-hum-eliminator
Boss ME-80 Guitar Multiple Effects,/items/boss-me-80-guitar-multiple-effects
Fulltone OCD Obsessive Compulsive Drive Overdrive Pedal,/items/fulltone-ocd-obsessive-compulsive-drive-overdrive-pedal
Boss DD-3 Digital Delay,/items/boss-dd-3-digital-delay
Boss CH-1 SUPER Chorus Pedal,/items/boss-ch-1-super-chorus-pedal
Boss Roland RE-20 Space Echo Pedal,/items/boss-roland-re-20-space-echo-pedal
Earthquaker Devices White Light,/items/earthquaker-devices-white-light
Red Panda Lab Particle Granular Delay/Pitch Shifting Pedal,/items/red-panda-lab-particle-granular-delay-pitch-shifting-pedal
Moog Moogerfooger Low-Pass Filter,/items/moog-moogerfooger-low-pass-filter
Electro-Hamonix Metal Muff with Top Boost,/items/electro-hamonix-metal-muff-with-top-boost
Electro-Harmonix 8 Step Program,/items/electro-harmonix-8-step-program
Line 6 Pod X3,/items/line-6-pod-x3
Electro Harmonix Superego Synth Engine,/items/electro-harmonix-superego-synth-engine
Boss SD-1 Super OverDrive,/items/boss-sd-1-super-overdrive--2
Klon Centaur Professional Overdrive Guitar Pedal,/items/klon-centaur-professional-overdrive-guitar-pedal
Rockman Acoustic Guitar Pedal,/items/rockman-acoustic-guitar-pedal
Eventide Omnipressor Compressor,/items/eventide-omnipressor-compressor
CAE Line Mixer,/items/cae-line-mixer
Celestion Vintage 30,/items/celestion-vintage-30
Dunlop DCR1FC Cry Baby Rack Foot Controller,/items/dunlop-dcr1fc-cry-baby-rack-foot-controller
Boss TU-12H Chromatic Tuner,/items/boss-tu-12h-chromatic-tuner
Peterson StroboRack Tuner,/items/peterson-stroborack-tuner
MXR Custom Audio Electronics RS-10 MIDI Foot Controller,/items/mxr-custom-audio-electronics-rs-10-midi-foot-controller
Whirlwind Multi-Selector,/items/whirlwind-multi-selector
Majik Box BB-1 Body Blow Overdrive Pedal,/items/majik-box-bb-1-body-blow-overdrive-pedal
Electro-Harmonix Big Muff Pi,/items/electro-harmonix-big-muff-pi
Way Huge Electronics Angry Troll Boost Guitar Effects Pedal,/items/way-huge-electronics-angry-troll-boost-guitar-effects-pedal
Way Huge Red Llama Overdrive,/items/way-huge-red-llama-overdrive
Dunlop Uni-Vibe Stereo Chorus,/items/dunlop-uni-vibe-stereo-chorus
Way Huge Supa-Puss,/items/way-huge-supa-puss
Strymon El Capistan dTape Echo Delay Pedal,/items/strymon-el-capistan-dtape-echo-delay-pedal
Guyatone Vintage Tremolo,/items/guyatone-vintage-tremolo
Strymon Lex Rotary Rotating Speaker Effects Pedal,/items/strymon-lex-rotary-rotating-speaker-effects-pedal
Framptone The 3-Banger Footswitch White,/items/framptone-the-3-banger-footswitch-white
Fulltone Tube Tape Echo,/items/fulltone-tube-tape-echo
Fulltone Clyde Wah,/items/fulltone-clyde-wah
Analog Man King of Tone Overdrive Guitar Effect Pedal,/items/analog-man-king-of-tone-overdrive-guitar-effect-pedal
SolidGoldFX Devil Drive,/items/solidgoldfx-devil-drive
Radial Tonebone Hot British,/items/radial-tonebone-hot-british
MXR EVH-117 Eddie Van Halen Flanger,/items/mxr-evh-117-eddie-van-halen-flanger
Boss BF-2 Flanger,/items/boss-bf-2-flanger
MXR EVH90 Phase 90 Pedal,/items/mxr-evh90-phase-90-pedal
Dunlop MXR M135 Smart Gate,/items/dunlop-mxr-m135-smart-gate
Boss OD-1 Overdrive Guitar Effects Pedal,/items/boss-od-1-overdrive-guitar-effects-pedal
Dunlop DC-Brick Multi-Power Supply,/items/dunlop-dc-brick-multi-power-supply
Electro-Harmonix Electric Mistress Flanger/Filter Matrix,/items/electro-harmonix-electric-mistress-flanger-filter-matrix
Korg Pitchblack PRO,/items/korg-pitchblack-pro
Digitech Rp55,/items/digitech-rp55
Boss RC-50 Loop Station Looper Pedal,/items/boss-rc-50-loop-station-looper-pedal
Fishman Aura Spectrum,/items/fishman-aura-spectrum
Korg Pitchblack Chromatic Pedal Tuner,/items/korg-pitchblack-chromatic-pedal-tuner
Line 6 DL4 Delay Pedal,/items/line-6-dl4-delay-pedal
TC Electronic G-Force Multi Effects Processor,/items/tc-electronic-g-force-multi-effects-processor
Pedaltrain JR,/items/pedaltrain-jr
RJM Music MasterMind GT-10 Controller,/items/rjm-music-mastermind-gt-10-controller
Mission Engineering EP-1 Expression Pedal,/items/mission-engineering-ep-1-expression-pedal
RJM Mastermind GT/22 MIDI Foot Controller,/items/rjm-mastermind-gt-22-midi-foot-controller
Fractal Axe-Fx II Guitar Effects Processor,/items/fractal-axe-fx-ii-guitar-effects-processor
Boss DS-1 Distortion Guitar Effects Pedal,/items/boss-ds-1-distortion-guitar-effects-pedal
Analog Man Bi-Chorus,/items/analog-man-bi-chorus
Roland GP-16,/items/roland-gp-16
Lexicon MPX G2,/items/lexicon-mpx-g2
Hughes & Kettner Tube Rotosphere MKII The Analog Leslie Simulator,/items/hughes-kettner-tube-rotosphere-mkii-the-analog-leslie-simulator
Gig Rig G2 Switching System,/items/gig-rig-g2-switching-system
Analog Man Prince of Tone Overdrive Effects Pedal,/items/analog-man-prince-of-tone-overdrive-effects-pedal
Kingsley Jester OD/Boost,/items/kingsley-jester-od-boost
Electro-Harmonix POG Polyphonic Octave Generator Guitar Effects Pedal,/items/electro-harmonix-pog-polyphonic-octave-generator-guitar-effects-pedal
Electro-Harmonix Pitch Fork,/items/electro-harmonix-pitch-fork
Analog Man Mini Chorus,/items/analog-man-mini-chorus
"Celestion G12M Greenback 12"" 25-Watt Speaker 8 Ohm",/items/celestion-g12m-greenback-12-25-watt-speaker-8-ohm
Celestion G12L-35,/items/celestion-g12l-35
Vo-96 Acoustic Guitar Synthesizer,/items/vo-96-acoustic-guitar-synthesizer
Keeley Dynatrem,/items/keeley-dynatrem
Roger Linn Design AdrenaLinn III Guitar Effects Processor,/items/roger-linn-design-adrenalinn-iii-guitar-effects-processor
Death By Audio Interstellar Overdrive Deluxe,/items/death-by-audio-interstellar-overdrive-deluxe
T-Rex Engineering Dr. Swamp Double Distortion Pedal,/items/t-rex-engineering-dr-swamp-double-distortion-pedal
Boss OS-2 Overdrive Distortion Pedal,/items/boss-os-2-overdrive-distortion-pedal
MXR KFK 10 Band EQ,/items/mxr-kfk-10-band-eq
Electro-Harmonix Holy Stain,/items/electro-harmonix-holy-stain
Boss ODB-3 Bass OverDrive Effects Pedal,/items/boss-odb-3-bass-overdrive-effects-pedal
Dunlop UV-1 Univibe,/items/dunlop-uv-1-univibe
