equipment_names,equipment_urls
Guitar Systems Treble Tool,/items/guitar-systems-treble-tool
Boss TU-2 Chromatic Tuner,/items/boss-tu-2-chromatic-tuner
Dunlop JC95 Jerry Cantrell Signature Wah,/items/dunlop-jc95-jerry-cantrell-signature-wah
Dunlop DVP1 Volume Pedal,/items/dunlop-dvp1-volume-pedal
Suhr Riot,/items/suhr-riot
Hermida Audio Technology Zendrive Boost Pedal,/items/hermida-audio-technology-zendrive-boost-pedal
Source Audio Soundblox Multiwave Distortion,/items/source-audio-soundblox-multiwave-distortion
Malekko Heavy Industry Omicron Series Vibrato Guitar Effects Pedal,/items/malekko-heavy-industry-omicron-series-vibrato-guitar-effects-pedal
Xotic Effects SP Compressor Pedal,/items/xotic-effects-sp-compressor-pedal
Electro-Harmonix Micro POG,/items/electro-harmonix-micro-pog
Strymon Flint Tremolo & Reverb Pedal,/items/strymon-flint-tremolo-reverb-pedal
Strymon Lex Rotary Rotating Speaker Effects Pedal,/items/strymon-lex-rotary-rotating-speaker-effects-pedal
Strymon TimeLine - Multidimensional Delay Effects - Delay Pedal,/items/strymon-timeline-multidimensional-delay-effects-delay-pedal
Strymon BigSky - Multidimensional Reverberator - Reverb Pedal,/items/strymon-bigsky-multidimensional-reverberator-reverb-pedal
Gig Rig G2 Switching System,/items/gig-rig-g2-switching-system
Molten Voltage SIMI,/items/molten-voltage-simi
Fulltone Mini DejaVibe,/items/fulltone-mini-dejavibe
Eventide TimeFactor Twin Delay Guitar Effects Pedal,/items/eventide-timefactor-twin-delay-guitar-effects-pedal
Boss CE-5 Chorus Ensemble,/items/boss-ce-5-chorus-ensemble
Boss TU-3 Chromatic Tuner,/items/boss-tu-3-chromatic-tuner
Ernie Ball Volume Pedal,/items/ernie-ball-volume-pedal
Dunlop Cry Baby Wah Pedal,/items/dunlop-cry-baby-wah-pedal
Boss RV-5 Digital Reverb Effects Pedal,/items/boss-rv-5-digital-reverb-effects-pedal
MXR EVH90 Phase 90 Pedal,/items/mxr-evh90-phase-90-pedal
Voodoo Lab - Pedal Power® 4x4,/items/voodoo-lab-pedal-power-4x4
Boss NS-2 Noise Suppressor Pedal,/items/boss-ns-2-noise-suppressor-pedal
Boss DD-20 Giga Delay Digital Delay Pedal,/items/boss-dd-20-giga-delay-digital-delay-pedal
MXR Smart Gate Noise Gate,/items/mxr-smart-gate-noise-gate
MXR M-234 Analog Chorus,/items/mxr-m-234-analog-chorus
Dunlop DVP3 Volume (X) Pedal,/items/dunlop-dvp3-volume-x-pedal
Jim Dunlop CBM95 Cry Baby Mini Wah,/items/jim-dunlop-cbm95-cry-baby-mini-wah
MXR Carbon Copy Analog Delay,/items/mxr-carbon-copy-analog-delay
Fractal Axe-Fx II Guitar Effects Processor,/items/fractal-axe-fx-ii-guitar-effects-processor
Boss FV-500H Volume Pedal - High Impedance,/items/boss-fv-500h-volume-pedal-high-impedance
Boss BD-2 Blues Driver,/items/boss-bd-2-blues-driver
Boss DS-1 Distortion Guitar Effects Pedal,/items/boss-ds-1-distortion-guitar-effects-pedal
Boss CE-2 Chorus Guitar Effect Pedal,/items/boss-ce-2-chorus-guitar-effect-pedal
MXR M193 GT-OD,/items/mxr-m193-gt-od
Boss CH-1 SUPER Chorus Pedal,/items/boss-ch-1-super-chorus-pedal
Danelectro Black Liquorice - Beyond Metal,/items/danelectro-black-liquorice-beyond-metal
Ibanez DE7 Stereo Echo/Delay Tone Lok,/items/ibanez-de7-stereo-echo-delay-tone-lok
Moollon Overdrive,/items/moollon-overdrive
