equipment_names,equipment_urls
Boss TU-2 Chromatic Tuner,/items/boss-tu-2-chromatic-tuner
Boss PS-3,/items/boss-ps-3
Boss DD-6 Digital Delay Pedal,/items/boss-dd-6-digital-delay-pedal
Boss BF-2B Bass Flanger Guitar Pedal,/items/boss-bf-2b-bass-flanger-guitar-pedal
Boss PN-2 Tremolo/Pan Guitar Effects Pedal,/items/boss-pn-2-tremolo-pan-guitar-effects-pedal
Boss OS-2 Overdrive Distortion Pedal,/items/boss-os-2-overdrive-distortion-pedal
DigiTech Synth Wah,/items/digitech-synth-wah
Akai Professional E2 HeadRush Delay/Looper,/items/akai-professional-e2-headrush-delay-looper
TC Electronic PolyTune Polyphonic Tuner Pedal,/items/tc-electronic-polytune-polyphonic-tuner-pedal
TC Electronic Polytune 2 Pedal Tuner,/items/tc-electronic-polytune-2-pedal-tuner
Dr. No Octofuzz,/items/dr-no-octofuzz
MXR M222 Talk Box,/items/mxr-m222-talk-box
Carl Martin Headroom,/items/carl-martin-headroom
Xotic Effects EP Booster Pedal,/items/xotic-effects-ep-booster-pedal
Fulltone Tube Tape Echo,/items/fulltone-tube-tape-echo
Keeley 4-Knob Compressor Pedal,/items/keeley-4-knob-compressor-pedal
Boss DD-20 Giga Delay Digital Delay Pedal,/items/boss-dd-20-giga-delay-digital-delay-pedal
Diamond Tremolo TRM-1,/items/diamond-tremolo-trm-1
Fulltone OCD Obsessive Compulsive Drive Overdrive Pedal,/items/fulltone-ocd-obsessive-compulsive-drive-overdrive-pedal
Korg Pitchblack Chromatic Pedal Tuner,/items/korg-pitchblack-chromatic-pedal-tuner
Boss DS-1 Distortion Guitar Effects Pedal,/items/boss-ds-1-distortion-guitar-effects-pedal
Dunlop GCB95 Cry Baby Wah Wah,/items/dunlop-gcb95-cry-baby-wah-wah
Boss DD-2 Digital Delay Pedal,/items/boss-dd-2-digital-delay-pedal
Fender PT-100 Chromatic Tuner,/items/fender-pt-100-chromatic-tuner
Boss GE-7 Equalizer Pedal,/items/boss-ge-7-equalizer-pedal
Boss TR-2 Tremolo Pedal,/items/boss-tr-2-tremolo-pedal
Boss BF-3 Flanger Pedal,/items/boss-bf-3-flanger-pedal
Boss CE-5 Chorus Ensemble,/items/boss-ce-5-chorus-ensemble
Marshall Bluesbreaker 2 Guitar Pedal,/items/marshall-bluesbreaker-2-guitar-pedal
Boss SD-1 Super OverDrive,/items/boss-sd-1-super-overdrive--2
Marshall RF-1 Reflector,/items/marshall-rf-1-reflector
Boss DD-7 Digital Delay,/items/boss-dd-7-digital-delay
T-Rex Engineering FuelTank Classic Power Supply,/items/t-rex-engineering-fueltank-classic-power-supply
Boss DD-3 Digital Delay,/items/boss-dd-3-digital-delay
MXR Dyna Comp Compressor M102,/items/mxr-dyna-comp-compressor-m102
Fulltone Full-Drive2 Mosfet,/items/fulltone-full-drive2-mosfet
Moog Minifooger MF Drive,/items/moog-minifooger-mf-drive
Strymon Flint Tremolo & Reverb Pedal,/items/strymon-flint-tremolo-reverb-pedal
Strymon Brigadier dBucket Delay,/items/strymon-brigadier-dbucket-delay
Ibanez TS9 Tube Screamer,/items/ibanez-ts9-tube-screamer
Xotic Effects RC Booster Clean Boost Guitar Effects Pedal,/items/xotic-effects-rc-booster-clean-boost-guitar-effects-pedal
Boss TU-3 Chromatic Tuner,/items/boss-tu-3-chromatic-tuner
Dunlop DC-Brick Multi-Power Supply,/items/dunlop-dc-brick-multi-power-supply
Boss BCB-6 Carrying Box,/items/boss-bcb-6-carrying-box
Boss PS-5 SUPER Shifter Pedal,/items/boss-ps-5-super-shifter-pedal
Boss BD-2 Blues Driver,/items/boss-bd-2-blues-driver
Boss CS-3 Compression Sustainer,/items/boss-cs-3-compression-sustainer
Boss OC-2 Octave Pedal,/items/boss-oc-2-octave-pedal
BOSS PSM-5 Power supply & master switch,/items/boss-psm-5-power-supply-master-switch
Line 6 DL4 Delay Pedal,/items/line-6-dl4-delay-pedal
Line 6 Pod (Original),/items/line-6-pod-original
MXR M134 Stereo Chorus,/items/mxr-m134-stereo-chorus
Vox Wah Pedal,/items/vox-wah-pedal
Frontline Chorus,/items/frontline-chorus
Electro-Harmonix Memory Toy,/items/electro-harmonix-memory-toy
Strymon TimeLine - Multidimensional Delay Effects - Delay Pedal,/items/strymon-timeline-multidimensional-delay-effects-delay-pedal
TC Electronic Polytune Mini Noir,/items/tc-electronic-polytune-mini-noir
Pedaltrain JR,/items/pedaltrain-jr
Roland Chorus Echo SRE-555,/items/roland-chorus-echo-sre-555
Moog Moogerfooger MF-104Z Analog Delay,/items/moog-moogerfooger-mf-104z-analog-delay
JHS Colour Box Preamp Pedal,/items/jhs-colour-box-preamp-pedal
EarthQuaker Devices Hummingbird,/items/earthquaker-devices-hummingbird
EarthQuaker Devices Afterneath,/items/earthquaker-devices-afterneath
Strymon El Capistan dTape Echo Delay Pedal,/items/strymon-el-capistan-dtape-echo-delay-pedal
EarthQuaker Devices Avalanche Run Stereo Delay and Reverb,/items/earthquaker-devices-avalanche-run-stereo-delay-and-reverb
Walrus Audio Julia Analog Chorus/Vibrato,/items/walrus-audio-julia-analog-chorus-vibrato
R3D Electronics Goldfinger Fuzz Pedal,/items/r3d-electronics-goldfinger-fuzz-pedal
R3D Electronics Kentaur Overdrive Pedal,/items/r3d-electronics-kentaur-overdrive-pedal
Effectrode PC-2A Compressor Pedal,/items/effectrode-pc-2a-compressor-pedal
Jam Pedals WaterFall Chorus & Vibrato Pedal,/items/jam-pedals-waterfall-chorus-vibrato-pedal
Strymon Mobius Modulation Pedal,/items/strymon-mobius-modulation-pedal
DLS RotoSIM,/items/dls-rotosim
Black Arts Toneworks Quantum Mystic,/items/black-arts-toneworks-quantum-mystic
L.R. Baggs Venue DI Acoustic Guitar Preamp,/items/l-r-baggs-venue-di-acoustic-guitar-preamp
Boss NS-2 Noise Suppressor Pedal,/items/boss-ns-2-noise-suppressor-pedal
Zakk Wylde Overdrive Pedal By MXR,/items/zakk-wylde-overdrive-pedal-by-mxr
Korg DT-10 Digital Pedal Tuner,/items/korg-dt-10-digital-pedal-tuner
DigiTech Whammy DT Drop Tune Guitar Effects Pedal,/items/digitech-whammy-dt-drop-tune-guitar-effects-pedal
Vox V847A Wah-Wah Pedal,/items/vox-v847a-wah-wah-pedal
MXR Cry Baby KFK Q Zone,/items/mxr-cry-baby-kfk-q-zone
Maxon OD808 Overdrive,/items/maxon-od808-overdrive
TC Electronic The Dreamscape John Petrucci Signature Modulation Pedal,/items/tc-electronic-the-dreamscape-john-petrucci-signature-modulation-pedal
Eventide TimeFactor Twin Delay Guitar Effects Pedal,/items/eventide-timefactor-twin-delay-guitar-effects-pedal
Boss GT-10 Guitar Effects Processor,/items/boss-gt-10-guitar-effects-processor
ISP Technologies Decimator Noise Reduction Pedal,/items/isp-technologies-decimator-noise-reduction-pedal
ISP Technologies Decimator ProRack G Noise Reduction System,/items/isp-technologies-decimator-prorack-g-noise-reduction-system
TC Electronic Transition,/items/tc-electronic-transition
Fulltone Robin Trower Overdrive,/items/fulltone-robin-trower-overdrive
Wren and Cuff Box of War,/items/wren-and-cuff-box-of-war
Black Arts Toneworks LSTR,/items/black-arts-toneworks-lstr
EarthQuaker Devices Ghost Echo Reverb,/items/earthquaker-devices-ghost-echo-reverb
Black Arts Toneworks Pharaoh Fuzz,/items/black-arts-toneworks-pharaoh-fuzz
Earthquaker Devices Grand Orbiter Phaser Pedal,/items/earthquaker-devices-grand-orbiter-phaser-pedal
EarthQuaker Devices Organizer,/items/earthquaker-devices-organizer
TC Electronic Corona Chorus,/items/tc-electronic-corona-chorus
EarthQuaker Devices Talons Overdrive Guitar Effects Pedal,/items/earthquaker-devices-talons-overdrive-guitar-effects-pedal
Electro Harmonix Mel9 Tape Replay Machine,/items/electro-harmonix-mel9-tape-replay-machine
Musitronics Mu-Tron III Envelope Filter,/items/musitronics-mu-tron-iii-envelope-filter
Boss BF-2 Flanger,/items/boss-bf-2-flanger
DigiTech Whammy (4th Gen),/items/digitech-whammy-4th-gen
MXR Custom Audio Electronics RS-10 MIDI Foot Controller,/items/mxr-custom-audio-electronics-rs-10-midi-foot-controller
DigiTech Multi Chorus - Chorus/Rotary Pedal,/items/digitech-multi-chorus-chorus-rotary-pedal
Boss RGE-10,/items/boss-rge-10
