equipment_names,equipment_urls
Boss BF-3 Flanger Pedal,/items/boss-bf-3-flanger-pedal
Boss TR-2 Tremolo Pedal,/items/boss-tr-2-tremolo-pedal
Boss GE-7 Equalizer Pedal,/items/boss-ge-7-equalizer-pedal
Boss CH-1 SUPER Chorus Pedal,/items/boss-ch-1-super-chorus-pedal
Dunlop 535Q Cry Baby Multi-Wah,/items/dunlop-535q-cry-baby-multi-wah
Voodoo Lab GCX Guitar Audio Switcher,/items/voodoo-lab-gcx-guitar-audio-switcher
Boss DS-1 Distortion Guitar Effects Pedal,/items/boss-ds-1-distortion-guitar-effects-pedal
Boss NS-2 Noise Suppressor Pedal,/items/boss-ns-2-noise-suppressor-pedal
Mid-Fi Electronics Glitch Computer,/items/mid-fi-electronics-glitch-computer
Source Audio Soundblox Tri-Mod Phaser,/items/source-audio-soundblox-tri-mod-phaser
Boss CS-3 Compression Sustainer,/items/boss-cs-3-compression-sustainer
Fulltone Mini DejaVibe Stereo Chorus Guitar Effects Pedal,/items/fulltone-mini-dejavibe-stereo-chorus-guitar-effects-pedal
ZVex Fuzz Factory,/items/zvex-fuzz-factory
Fulltone 69 MKII Fuzz Pedal,/items/fulltone-69-mkii-fuzz-pedal
Crazy Tube Circuits Starlight,/items/crazy-tube-circuits-starlight
Crazy Tube Circuits Vyagra Boost,/items/crazy-tube-circuits-vyagra-boost
Bigfoot FX Magnavibe,/items/bigfoot-fx-magnavibe
Electro-Harmonix XO Stereo Pulsar Tremolo Guitar Effects Pedal,/items/electro-harmonix-xo-stereo-pulsar-tremolo-guitar-effects-pedal
MXR Custom Shop CSP105 Vintage '75 Phase 45 Phaser Guitar Effects Pedal,/items/mxr-custom-shop-csp105-vintage-75-phase-45-phaser-guitar-effects-pedal
Klon Centaur Professional Overdrive Guitar Pedal,/items/klon-centaur-professional-overdrive-guitar-pedal
Boss VB-2 Vibrato Guitar Effect Pedal,/items/boss-vb-2-vibrato-guitar-effect-pedal
DigiTech Whammy Pitch-Shifting Pedal,/items/digitech-whammy-pitch-shifting-pedal
Electro-Harmonix 16 Second Delay Pedal,/items/electro-harmonix-16-second-delay-pedal
Electro-Harmonix Ring-Thing,/items/electro-harmonix-ring-thing
Electro-Harmonix Deluxe Memory Man,/items/electro-harmonix-deluxe-memory-man
Crowther Hotcake,/items/crowther-hotcake
Boss FV-500L Volume Pedal - Low Impedance,/items/boss-fv-500l-volume-pedal-low-impedance
Boss DD-3 Digital Delay,/items/boss-dd-3-digital-delay
Electro-Harmonix XO Holy Grail Plus Variable Reverb Guitar Effects Pedal,/items/electro-harmonix-xo-holy-grail-plus-variable-reverb-guitar-effects-pedal
Boss FV-500H Volume Pedal - High Impedance,/items/boss-fv-500h-volume-pedal-high-impedance
Jam Pedals WaterFall Chorus & Vibrato Pedal,/items/jam-pedals-waterfall-chorus-vibrato-pedal
JAM pedals Tube Dreamer +,/items/jam-pedals-tube-dreamer
Jam Pedals Retro Vibe,/items/jam-pedals-retro-vibe
Jam Pedals Rattler,/items/jam-pedals-rattler--2
JAM PEDALS Delay Llama+,/items/jam-pedals-delay-llama--2
Zakk Wylde Wah,/items/zakk-wylde-wah
MXR ZW44 Berzerker Overdrive,/items/mxr-zw44-berzerker-overdrive
MXR Flanger Guitar Effects Pedal,/items/mxr-flanger-guitar-effects-pedal
MXR Custom Audio Electronics MC-403 Power Distributor,/items/mxr-custom-audio-electronics-mc-403-power-distributor
Dunlop Cry Baby DCR-2SR Rack Module,/items/dunlop-cry-baby-dcr-2sr-rack-module
MXR KFK 10 Band EQ,/items/mxr-kfk-10-band-eq
MXR ZW38 Black Label Chorus,/items/mxr-zw38-black-label-chorus
MXR Smart Gate Noise Gate,/items/mxr-smart-gate-noise-gate
MXR Smart Gate® Pro M235,/items/mxr-smart-gate-pro-m235
MXR Cry Baby KFK Q Zone,/items/mxr-cry-baby-kfk-q-zone
EMT 252 Digital Reverb,/items/emt-252-digital-reverb
Fender fOXX Fuzz Wah Volume,/items/fender-foxx-fuzz-wah-volume
Mosrite Fuzzrite,/items/mosrite-fuzzrite
Boss FZ-3,/items/boss-fz-3
Electro Harmonix Stereo Electric Mistress,/items/electro-harmonix-stereo-electric-mistress
DOD Analog Delay,/items/dod-analog-delay
DOD FX65 Stereo Chorus,/items/dod-fx65-stereo-chorus
Electro-Harmonix Russian Big Muff Pi,/items/electro-harmonix-russian-big-muff-pi
Guyatone Vintage Tremolo,/items/guyatone-vintage-tremolo
Boss DS-2 Turbo Distortion Pedal,/items/boss-ds-2-turbo-distortion-pedal
Boss FV-50H Stereo Volume Pedal,/items/boss-fv-50h-stereo-volume-pedal
Electro-Harmonix Micro Synthesizer,/items/electro-harmonix-micro-synthesizer
Electro-Hamonix Metal Muff with Top Boost,/items/electro-hamonix-metal-muff-with-top-boost
DigiTech PDS-1002 Digital Delay Effects Pedal,/items/digitech-pds-1002-digital-delay-effects-pedal
Electro-Harmonix POG Polyphonic Octave Generator Guitar Effects Pedal,/items/electro-harmonix-pog-polyphonic-octave-generator-guitar-effects-pedal
Dunlop Dimebag Signature Cry Baby Wah Wah,/items/dunlop-dimebag-signature-cry-baby-wah-wah
Dunlop GCB95 Cry Baby Wah Wah,/items/dunlop-gcb95-cry-baby-wah-wah
Electro-Harmonix Big Muff Pi,/items/electro-harmonix-big-muff-pi
Electro-Harmonix Deluxe Electric Mistress,/items/electro-harmonix-deluxe-electric-mistress
Moog EP-3 Expression Pedal,/items/moog-ep-3-expression-pedal
DigiTech Whammy (4th Gen),/items/digitech-whammy-4th-gen
Electro-Harmonix Classics English Muff'n Overdrive Guitar Effects Pedal,/items/electro-harmonix-classics-english-muff-n-overdrive-guitar-effects-pedal
Electro-Harmonix POG2 Polyphonic Octave Generator Guitar Effects Pedal,/items/electro-harmonix-pog2-polyphonic-octave-generator-guitar-effects-pedal
Electro-Harmonix Holy Grail Nano Reverb Guitar Effects Pedal,/items/electro-harmonix-holy-grail-nano-reverb-guitar-effects-pedal
Ibanez WH10 Wah Guitar Effects Pedal,/items/ibanez-wh10-wah-guitar-effects-pedal
Electro-Harmonix Green Russian Big Muff Pi,/items/electro-harmonix-green-russian-big-muff-pi
Electro-Harmonix Micro POG,/items/electro-harmonix-micro-pog
Fulltone Mini Deja Vibe 2,/items/fulltone-mini-deja-vibe-2
Boss TU-2 Chromatic Tuner,/items/boss-tu-2-chromatic-tuner
Xotic Effects AC Booster Overdrive Pedal,/items/xotic-effects-ac-booster-overdrive-pedal
Electro-Harmonix Small Stone Phase Shifter Effects Pedal,/items/electro-harmonix-small-stone-phase-shifter-effects-pedal
Voodoo Lab Pedal Power 2 Plus,/items/voodoo-lab-pedal-power-2-plus
Morley Steve Vai Bad Horsie 2 Contour Wah Pedal,/items/morley-steve-vai-bad-horsie-2-contour-wah-pedal
Fulltone Full-Drive2 Mosfet,/items/fulltone-full-drive2-mosfet
Boss TU-3 Chromatic Tuner,/items/boss-tu-3-chromatic-tuner
Divided By 13 Switchazel,/items/divided-by-13-switchazel
Line 6 DL4 Delay Pedal,/items/line-6-dl4-delay-pedal
Dunlop Cry Baby Wah Pedal,/items/dunlop-cry-baby-wah-pedal
Dunlop Heil HT1 Talk Box,/items/dunlop-heil-ht1-talk-box
Fulltone Ultimate Octave Pedal,/items/fulltone-ultimate-octave-pedal
MXR M193 GT-OD,/items/mxr-m193-gt-od
Line 6 MM4 Modulation Guitar Effects Pedal,/items/line-6-mm4-modulation-guitar-effects-pedal
Fulltone Clyde Wah,/items/fulltone-clyde-wah
Radial Engineering Tonebone JX-2 Pro Switchbone,/items/radial-engineering-tonebone-jx-2-pro-switchbone
MXR MC404 CAE Wah,/items/mxr-mc404-cae-wah
MXR CSP-026 Handwired 1974 Vintage Phase 90 Pedal,/items/mxr-csp-026-handwired-1974-vintage-phase-90-pedal
MXR EVH-117 Eddie Van Halen Flanger,/items/mxr-evh-117-eddie-van-halen-flanger
MXR EVH90 Phase 90 Pedal,/items/mxr-evh90-phase-90-pedal
Analog Man Mini Chorus,/items/analog-man-mini-chorus
"Celestion G12M Greenback 12"" 25-Watt Speaker 8 Ohm",/items/celestion-g12m-greenback-12-25-watt-speaker-8-ohm
Celestion G1265 Vintage Guitar Speaker,/items/celestion-g1265-vintage-guitar-speaker
Rocktron Hush Noise Gate,/items/rocktron-hush-noise-gate
Ibanez TS9 Tube Screamer,/items/ibanez-ts9-tube-screamer
MXR M-133 Micro Amp Pedal,/items/mxr-m-133-micro-amp-pedal
Boss OC-3 SUPER Octave Pedal,/items/boss-oc-3-super-octave-pedal
Radial Engineering JDI MK3 Passive Direct Box,/items/radial-engineering-jdi-mk3-passive-direct-box
Metasonix TM-6 Vacuum-Tube Multimode Filter,/items/metasonix-tm-6-vacuum-tube-multimode-filter
Metasonix TX-2 Butt Probe,/items/metasonix-tx-2-butt-probe
Metasonix TX-1 Vacuum-Tube Agonizer,/items/metasonix-tx-1-vacuum-tube-agonizer
Eventide H3500 Ultra-Harmonizer,/items/eventide-h3500-ultra-harmonizer
Musitronics Mu-Tron III Envelope Filter,/items/musitronics-mu-tron-iii-envelope-filter
Boss OS-2 Overdrive Distortion Pedal,/items/boss-os-2-overdrive-distortion-pedal
Boss PS-5 SUPER Shifter Pedal,/items/boss-ps-5-super-shifter-pedal
Boss DD-6 Digital Delay Pedal,/items/boss-dd-6-digital-delay-pedal
RMC RMC1 Wah Pedal,/items/rmc-rmc1-wah-pedal
Roland Space Echo RE-301,/items/roland-space-echo-re-301
Boss OC-2 Octave Pedal,/items/boss-oc-2-octave-pedal
Boss CE-2 Chorus Guitar Effect Pedal,/items/boss-ce-2-chorus-guitar-effect-pedal
Ibanez TS10 Tube Screamer Classic,/items/ibanez-ts10-tube-screamer-classic
Vox Cooltron CT01DS Bulldog Distortion Pedal,/items/vox-cooltron-ct01ds-bulldog-distortion-pedal
Boss BD-2 Blues Driver,/items/boss-bd-2-blues-driver
Fulltone GT-500 Booster/Distortion,/items/fulltone-gt-500-booster-distortion
Korg Pitchblack Chromatic Pedal Tuner,/items/korg-pitchblack-chromatic-pedal-tuner
Visual Sound Visual Volume Pedal,/items/visual-sound-visual-volume-pedal
Visual Sound V2 Series V2DT Double Trouble Dual Overdrive Guitar Effects Pedal,/items/visual-sound-v2-series-v2dt-double-trouble-dual-overdrive-guitar-effects-pedal
Maxon DS830 Distortion Master,/items/maxon-ds830-distortion-master
Maxon AD-999 Pro Analog Delay,/items/maxon-ad-999-pro-analog-delay
Demeter TRM-1 Tremulator Tremolo Pedal,/items/demeter-trm-1-tremulator-tremolo-pedal
Visual Sound Jekyll & Hyde Ultimate Overdrive,/items/visual-sound-jekyll-hyde-ultimate-overdrive
JHS Colour Box Preamp Pedal,/items/jhs-colour-box-preamp-pedal
Stone Deaf PDF-1 Parametric Distortion Filter,/items/stone-deaf-pdf-1-parametric-distortion-filter
Pete Cornish Custom Paul McCartney Pedalboard,/items/pete-cornish-custom-paul-mccartney-pedalboard
Boss TU-12H Chromatic Tuner,/items/boss-tu-12h-chromatic-tuner
vox tone bender germanium fuzz v829,/items/vox-tone-bender-germanium-fuzz-v829
Gary Hurst Tonebender,/items/gary-hurst-tonebender
Roger Mayer Octavia Pedal,/items/roger-mayer-octavia-pedal
Binson Echorec,/items/binson-echorec
Maestro Fuzz-Tone,/items/maestro-fuzz-tone
VOX Grey Wah,/items/vox-grey-wah
T-Rex Twister (Chorus and Flanger),/items/t-rex-twister-chorus-and-flanger
T-Rex Luxury Drive (Gristle Line - Booster),/items/t-rex-luxury-drive-gristle-line-booster
Ibanez TS808 The Original Tube Screamer,/items/ibanez-ts808-the-original-tube-screamer
T-Rex Moller Overdrive Pedal,/items/t-rex-moller-overdrive-pedal
Boss FRV-1 '63 Fender Reverb Pedal,/items/boss-frv-1-63-fender-reverb-pedal
Boss RV-5 Digital Reverb Effects Pedal,/items/boss-rv-5-digital-reverb-effects-pedal
Marshall The Guv'nor Mk1 Overdrive Pedal,/items/marshall-the-guv-nor-mk1-overdrive-pedal
Radial Tonebone Classic Tube Distortion Pedal,/items/radial-tonebone-classic-tube-distortion-pedal
Boss DM-2 Analog Delay,/items/boss-dm-2-analog-delay
Boss BF-2 Flanger,/items/boss-bf-2-flanger
DigiTech Bad Monkey Tube Overdrive,/items/digitech-bad-monkey-tube-overdrive
Electro-Harmonix Graphic Fuzz,/items/electro-harmonix-graphic-fuzz
MXR M-101 Phase 90 Pedal,/items/mxr-m-101-phase-90-pedal
TC Electronic PolyTune Polyphonic Tuner Pedal,/items/tc-electronic-polytune-polyphonic-tuner-pedal
Ernie Ball VP JR. Passive Volume Pedal,/items/ernie-ball-vp-jr-passive-volume-pedal
ISP Technologies Decimator Noise Reduction Pedal,/items/isp-technologies-decimator-noise-reduction-pedal
Dunlop Cry Baby 105Q Bass Wah Pedal,/items/dunlop-cry-baby-105q-bass-wah-pedal
TC Electronic NR-1 Nova Reverb,/items/tc-electronic-nr-1-nova-reverb
TC Electronic Flashback Delay,/items/tc-electronic-flashback-delay
TC Electronic Corona Chorus,/items/tc-electronic-corona-chorus
Morpheus Droptune,/items/morpheus-droptune
Boss Roland RE-20 Space Echo Pedal,/items/boss-roland-re-20-space-echo-pedal
Monster Effects Mastortion Overdrive,/items/monster-effects-mastortion-overdrive
Dunlop JHM2 Jimi Hendrix Octavio,/items/dunlop-jhm2-jimi-hendrix-octavio
Tapco 2200 Graphic Equalizer,/items/tapco-2200-graphic-equalizer
Tapco Reverb 4400,/items/tapco-reverb-4400
Maestro Parametric EQ,/items/maestro-parametric-eq
Morley volume pedal,/items/morley-volume-pedal
Mesa Boogie High Gain Amplifier Switch,/items/mesa-boogie-high-gain-amplifier-switch
Axess Electronics GRX4 Guitar Router/Switcher,/items/axess-electronics-grx4-guitar-router-switcher
TC Electronic G-Force Multi Effects Processor,/items/tc-electronic-g-force-multi-effects-processor
Radial Tonebone Headbone VT Amp Head Switcher,/items/radial-tonebone-headbone-vt-amp-head-switcher
Axess Electronics FX1 MIDI Footcontroller,/items/axess-electronics-fx1-midi-footcontroller
Maestro PS-1A Phase Shifter,/items/maestro-ps-1a-phase-shifter
Boss CE-1 Chorus Ensemble Pedal,/items/boss-ce-1-chorus-ensemble-pedal--2
Maestro Echoplex,/items/maestro-echoplex
Whirlwind Multi-Selector,/items/whirlwind-multi-selector
Dunlop Crybaby Wah DCR-ISR,/items/dunlop-crybaby-wah-dcr-isr
Yamaha MFC10 MIDI Foot Controller,/items/yamaha-mfc10-midi-foot-controller
Rocktron All Access LTD Footcontroller,/items/rocktron-all-access-ltd-footcontroller
Rocktron Prophesy,/items/rocktron-prophesy
Zoom G2.1DM Dave Mustain Signature Pedal,/items/zoom-g2-1dm-dave-mustain-signature-pedal
Fractal Axe-Fx II Guitar Effects Processor,/items/fractal-axe-fx-ii-guitar-effects-processor
DigiTech GSP1101 Guitar Multi Effects Processor,/items/digitech-gsp1101-guitar-multi-effects-processor
SIB EchoDrive Overdrive Pedal,/items/sib-echodrive-overdrive-pedal
Morley Mark Tremonti Signature Wah,/items/morley-mark-tremonti-signature-wah
T-Rex Mark Tremonti Phaser,/items/t-rex-mark-tremonti-phaser
