equipment_names,equipment_urls
TC Electronic ND-1 Nova Delay,/items/tc-electronic-nd-1-nova-delay
Lehle Little Dual Amp Switcher Guitar Pedal,/items/lehle-little-dual-amp-switcher-guitar-pedal
T-Rex Fuel Tank Chameleon,/items/t-rex-fuel-tank-chameleon
ISP Technologies Decimator Noise Reduction Pedal,/items/isp-technologies-decimator-noise-reduction-pedal
Korg Pitchblack Chromatic Pedal Tuner,/items/korg-pitchblack-chromatic-pedal-tuner
Cluster Mask-5,/items/cluster-mask-5
Cluster Spirit-92,/items/cluster-spirit-92
Cluster Pulstar-43,/items/cluster-pulstar-43
Electro-Harmonix Deluxe Electric Mistress,/items/electro-harmonix-deluxe-electric-mistress
Line 6 FM4 Filter Modeler Guitar Effects Pedal,/items/line-6-fm4-filter-modeler-guitar-effects-pedal
Line 6 DL4 Delay Pedal,/items/line-6-dl4-delay-pedal
Moog MF-102 Moogerfooger Ring Modulator,/items/moog-mf-102-moogerfooger-ring-modulator
Xotic Effects RC Booster Clean Boost Guitar Effects Pedal,/items/xotic-effects-rc-booster-clean-boost-guitar-effects-pedal
Voodoo Lab Tremolo Pedal,/items/voodoo-lab-tremolo-pedal
ZVEX Effects Vextron Distortron Guitar Effects Pedal,/items/zvex-effects-vextron-distortron-guitar-effects-pedal
Pro Co RAT Distortion Pedal,/items/pro-co-rat-distortion-pedal
MXR M-101 Phase 90 Pedal,/items/mxr-m-101-phase-90-pedal
DOD FX-17 Wah-Volume Pedal,/items/dod-fx-17-wah-volume-pedal
Boss TU-2 Chromatic Tuner,/items/boss-tu-2-chromatic-tuner
Voodoo Lab Pedal Power 2 Plus,/items/voodoo-lab-pedal-power-2-plus
Carl Martin Big John Power Supply,/items/carl-martin-big-john-power-supply
Sonomatic Cheddar delay,/items/sonomatic-cheddar-delay
Sonomatic Palmetto 3 Tremolo,/items/sonomatic-palmetto-3-tremolo
Cluster Ithaca-26,/items/cluster-ithaca-26
Boss DD-3 Digital Delay,/items/boss-dd-3-digital-delay
Cluster Spiral-48,/items/cluster-spiral-48
D'Amico Efectos Nodriza,/items/d-amico-efectos-nodriza
Dunlop WAH Andreas Kisser AK 95,/items/dunlop-wah-andreas-kisser-ak-95
Ibanez TS808 The Original Tube Screamer,/items/ibanez-ts808-the-original-tube-screamer
Boss CE-2 Chorus Guitar Effect Pedal,/items/boss-ce-2-chorus-guitar-effect-pedal
