equipment_names,equipment_urls
Boss TU-3 Chromatic Tuner,/items/boss-tu-3-chromatic-tuner
Fishman Aura Spectrum,/items/fishman-aura-spectrum
Xotic Effects EP Booster Pedal,/items/xotic-effects-ep-booster-pedal
Electro-Harmonix Holy Grail Nano Reverb Guitar Effects Pedal,/items/electro-harmonix-holy-grail-nano-reverb-guitar-effects-pedal
Electro-Harmonix Deluxe Memory Man,/items/electro-harmonix-deluxe-memory-man
Line 6 M9 Stompbox Modeler,/items/line-6-m9-stompbox-modeler
Analog Man King of Tone Overdrive Guitar Effect Pedal,/items/analog-man-king-of-tone-overdrive-guitar-effect-pedal
Fulltone Full-Drive2 Mosfet,/items/fulltone-full-drive2-mosfet
Boss TU-2 Chromatic Tuner,/items/boss-tu-2-chromatic-tuner
Electro-Harmonix POG2 Polyphonic Octave Generator Guitar Effects Pedal,/items/electro-harmonix-pog2-polyphonic-octave-generator-guitar-effects-pedal
Keith McMillen SoftStep 2,/items/keith-mcmillen-softstep-2
MXR M-133 Micro Amp Pedal,/items/mxr-m-133-micro-amp-pedal
EarthQuaker Devices Dispatch Master,/items/earthquaker-devices-dispatch-master
Voodoo Lab Pedal Power 2 Plus,/items/voodoo-lab-pedal-power-2-plus
Morley ABY Footswitch,/items/morley-aby-footswitch
ZVex Vexter Box of Rock Distortion Guitar Effects Pedal,/items/zvex-vexter-box-of-rock-distortion-guitar-effects-pedal
Electro-Harmonix Holy Grail Reverb Guitar Effects Pedal,/items/electro-harmonix-holy-grail-reverb-guitar-effects-pedal
Malekko B:Assmaster Distortion Pedal,/items/malekko-b-assmaster-distortion-pedal
Ernie Ball VP JR. Passive Volume Pedal,/items/ernie-ball-vp-jr-passive-volume-pedal
MXR M-108 Ten Band Graphic Equalizer Pedal,/items/mxr-m-108-ten-band-graphic-equalizer-pedal
DigiTech JamMan,/items/digitech-jamman--2
Line 6 DL4 Delay Pedal,/items/line-6-dl4-delay-pedal
Electro-Harmonix XO Stereo Pulsar Tremolo Guitar Effects Pedal,/items/electro-harmonix-xo-stereo-pulsar-tremolo-guitar-effects-pedal
